NMDO IRI,PROMOT Count,PROMOT IRIs,PROMOT Labels,LLM Scores,Review Note
http://purl.obolibrary.org/obo/HP_0000729,2,http://id.who.int/icd/entity/982325691 | http://id.who.int/icd/entity/1436113794,"Interpersonal interactions and relationships | Community, social and civic life",0.3085 | 0.2114,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/NCIT_C172435,4,http://id.who.int/icd/entity/623565657 | http://id.who.int/icd/entity/485719194 | http://id.who.int/icd/entity/855039967 | http://id.who.int/icd/entity/1462755743,Maintaining a sitting position | Maintaining a standing position | Sitting | Standing,0.553 | 0.5362 | 0.4938 | 0.4582,4 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/UBERON_0000165,2,http://id.who.int/icd/entity/1754034822 | http://id.who.int/icd/entity/1470583183,Structure of mouth | Functions of breathing through the mouth,0.6874 | 0.5206,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/UBERON_0006056,3,http://id.who.int/icd/entity/436620656 | http://id.who.int/icd/entity/169456190 | http://id.who.int/icd/entity/1474003417,Structure of head and neck region | Joints of head and neck region | Maintaining head position,0.6832 | 0.5867 | 0.5652,3 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/NCIT_C121361,6,http://purl.obolibrary.org/obo/PROMOT_0100006 | http://id.who.int/icd/entity/1521707777 | http://id.who.int/icd/entity/274570113 | http://id.who.int/icd/entity/389047611 | http://id.who.int/icd/entity/1674298945 | http://id.who.int/icd/entity/1789365017,Quantative muscle testing | Endurance of muscle groups | Muscle power functions | Muscle endurance functions | Endurance of all muscles of the body | Power of isolated muscles and muscle groups,0.7675 | 0.5535 | 0.5402 | 0.5179 | 0.4905 | 0.468,6 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/MONDO_0700096,2,http://purl.obolibrary.org/obo/PROMOT_0010002 | http://id.who.int/icd/entity/1535125568,statement about a human | Domestic life,0.4275 | 0.3267,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/HP_0025032,2,http://id.who.int/icd/entity/1976873960 | http://id.who.int/icd/entity/1580195090,Functions related to the digestive system | Digestive functions,0.654 | 0.6044,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/UBERON_0006585,2,http://id.who.int/icd/entity/1831985718 | http://id.who.int/icd/entity/1607952955,Vestibular function of balance | Vestibular functions,0.7419 | 0.6741,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/UBERON_0005423,6,http://purl.obolibrary.org/obo/PROMOT_0020003 | http://id.who.int/icd/entity/1626363729 | http://purl.obolibrary.org/obo/PROMOT_0020001 | http://id.who.int/icd/entity/437219407 | http://purl.obolibrary.org/obo/PROMOT_0100003 | http://id.who.int/icd/entity/634949825,Body structure related anatomical entity | Body structures | Phenotypically related body structure | Anatomical localization | Body structure related procedure | Structure of brain,0.7878 | 0.7065 | 0.6677 | 0.6578 | 0.6458 | 0.6068,6 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/NCIT_C62103,2,http://id.who.int/icd/entity/1632143254 | http://id.who.int/icd/entity/723665457,not specified | Energy and drive functions,0.2768 | 0.236,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/UBERON_0001004,3,http://id.who.int/icd/entity/744367503 | http://id.who.int/icd/entity/1682107878 | http://id.who.int/icd/entity/446199613,Functions of the respiratory system | Additional functions of the respiratory system | Respiration functions,0.6915 | 0.639 | 0.5471,3 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/HP_0011729,3,http://id.who.int/icd/entity/1757783224 | http://id.who.int/icd/entity/248265067 | http://id.who.int/icd/entity/2048203604,Mobility of several joints | Mobility of joint functions | Mobility,0.7103 | 0.5347 | 0.4879,3 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/MONDO_0007263,2,http://id.who.int/icd/entity/1780196241 | http://id.who.int/icd/entity/2100545361,Heart rhythm | Heart rate,0.6105 | 0.5159,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/UBERON_0008982,2,http://id.who.int/icd/entity/1794398084 | http://id.who.int/icd/entity/521411479,Muscles of thigh | Muscles of thigh,0.5405 | 0.5405,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/IAO_0000030,2,http://id.who.int/icd/entity/2011053685 | http://id.who.int/icd/entity/1819639191,Learning and applying knowledge | Reception of language,0.3038 | 0.2486,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/MONDO_0022202,11,http://purl.obolibrary.org/obo/PROMOT_0031008 | http://purl.obolibrary.org/obo/PROMOT_0010054 | http://purl.obolibrary.org/obo/PROMOT_0010058 | http://purl.obolibrary.org/obo/PROMOT_0010056 | http://purl.obolibrary.org/obo/PROMOT_0010057 | http://id.who.int/icd/entity/1820174762 | http://purl.obolibrary.org/obo/PROMOT_0031009 | http://id.who.int/icd/entity/1986061142 | http://purl.obolibrary.org/obo/PROMOT_0010055 | http://purl.obolibrary.org/obo/PROMOT_0120002 | http://purl.obolibrary.org/obo/PROMOT_0031004,absent | Pending | Inactive | Active | Rejected | back | present | not applicable | Proposed | Participation | opt out,0.4449 | 0.4172 | 0.3948 | 0.3693 | 0.3621 | 0.3084 | 0.3003 | 0.2974 | 0.2518 | 0.2472 | 0.2252,11 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/HP_0003808,2,http://id.who.int/icd/entity/1839310222 | http://id.who.int/icd/entity/260756767,Muscle tone functions | Tone of all muscles of the body,0.6617 | 0.6198,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/UBERON_0010312,3,http://id.who.int/icd/entity/246722870 | http://id.who.int/icd/entity/1843740951 | http://id.who.int/icd/entity/2031311308,"Structures around eye | The eye, ear and related structures | Functions of structures adjoining the eye",0.7185 | 0.6433 | 0.617,3 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/HP_0012531,4,http://id.who.int/icd/entity/894218497 | http://id.who.int/icd/entity/1916167881 | http://id.who.int/icd/entity/893697482 | http://id.who.int/icd/entity/577558794,Sensation of pain | Sensory functions and pain | Generalized pain | Pain in body part,0.7157 | 0.63 | 0.6225 | 0.6222,4 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/HP_0003551,2,http://id.who.int/icd/entity/1993770860 | http://purl.obolibrary.org/obo/PROMOT_0032007,Going up and down stairs | Difficulty walking short distance,0.6289 | 0.5178,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/UBERON_0000991,2,http://id.who.int/icd/entity/859818654 | http://id.who.int/icd/entity/2067741200,"Penis, testes and scrotum development | Testes and scrotum",0.4527 | 0.4268,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/UBERON_0001271,2,http://id.who.int/icd/entity/232409592 | http://id.who.int/icd/entity/793188683,Structure of pelvic region | Muscles of pelvic region,0.6626 | 0.64,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/UBERON_0006562,2,http://id.who.int/icd/entity/242704590 | http://id.who.int/icd/entity/691689627,"Functions of expelling the contents of the stomach, oesophagus or pharynx | Pharyngeal swallowing",0.6186 | 0.6044,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/UBERON_0004535,2,http://id.who.int/icd/entity/397303672 | http://id.who.int/icd/entity/719872561,Structure of cardiovascular system | Functions of the cardiovascular system,0.7769 | 0.6916,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/HP_0002527,4,http://purl.obolibrary.org/obo/PROMOT_0010065 | http://id.who.int/icd/entity/399242087 | http://purl.obolibrary.org/obo/PROMOT_0110001 | http://purl.obolibrary.org/obo/PROMOT_0031003,Risk of fall assessed | Recreation and leisure | Activity | lost in follow up,0.4916 | 0.3674 | 0.3577 | 0.2772,4 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/NCIT_C141686,2,http://purl.obolibrary.org/obo/PROMOT_0100012 | http://id.who.int/icd/entity/412494151,10 Meter Walk Test (10MWT) | Running,0.644 | 0.2779,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/UBERON_0002107,2,http://id.who.int/icd/entity/552193364 | http://id.who.int/icd/entity/850289698,"Functions related to metabolism and the endocrine system | Functions of the digestive, metabolic and endocrine systems",0.6118 | 0.5838,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/UBERON_0005256,3,http://id.who.int/icd/entity/723417607 | http://id.who.int/icd/entity/58064740 | http://id.who.int/icd/entity/556694745,Structure of trunk | Muscles of trunk | Power of muscles of the trunk,0.6647 | 0.6578 | 0.5498,3 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/UBERON_0013702,2,http://id.who.int/icd/entity/567313968 | http://purl.obolibrary.org/obo/PROMOT_0100002,Body functions | Body function related procedure,0.553 | 0.4699,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/UBERON_0005156,2,http://id.who.int/icd/entity/606087144 | http://id.who.int/icd/entity/826593815,Structure of reproductive system | Structures related to the genitourinary and reproductive systems,0.6487 | 0.5536,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/HP_0002015,3,http://purl.obolibrary.org/obo/PROMOT_0032011 | http://purl.obolibrary.org/obo/PROMOT_0032010 | http://id.who.int/icd/entity/923782542,Dysphagia for liquid | Dysphagia for solid | Swallowing,0.6172 | 0.5992 | 0.5636,3 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/MONDO_0018940,2,http://purl.obolibrary.org/obo/PROMOT_0000002 | http://purl.obolibrary.org/obo/PROMOT_0000003,CMS related mutation | CMYO related mutation,0.5941 | 0.5333,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/PATO_0002198,2,http://purl.obolibrary.org/obo/PROMOT_0010005 | http://purl.obolibrary.org/obo/PROMOT_0010001,statement about a procedure | statement,0.2829 | 0.2735,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/UPHENO_0001001,4,http://purl.obolibrary.org/obo/PROMOT_0010004 | http://purl.obolibrary.org/obo/PROMOT_0032003 | http://purl.obolibrary.org/obo/PROMOT_0032004 | http://purl.obolibrary.org/obo/PROMOT_0100001,statement about a phenotype | Body function related phenotype | Activity related phenotype | Phenotypically related procedure,0.8388 | 0.664 | 0.6131 | 0.4498,4 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/NCIT_C91105,3,http://purl.obolibrary.org/obo/PROMOT_0010013 | http://purl.obolibrary.org/obo/PROMOT_0010008 | http://purl.obolibrary.org/obo/PROMOT_0010062,Year of assessment | Date of assessment | Agreement to be contacted for research purpose,0.3561 | 0.3496 | 0.3211,3 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/MONDO_0021140,2,http://purl.obolibrary.org/obo/PROMOT_0010045 | http://purl.obolibrary.org/obo/PROMOT_0010011,Patient sex at birth unknown | Year of birth,0.4714 | 0.3549,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/PATO_0001309,2,http://purl.obolibrary.org/obo/PROMOT_0010014 | http://purl.obolibrary.org/obo/PROMOT_0010060,Year of resolution | Date of consent,0.2903 | 0.2151,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/UBERON_0000071,4,http://purl.obolibrary.org/obo/PROMOT_0010017 | http://purl.obolibrary.org/obo/PROMOT_0010015 | http://purl.obolibrary.org/obo/PROMOT_0031002 | http://purl.obolibrary.org/obo/PROMOT_0031001,Age at death | Year of death | unrecorded life status | unkown life status,0.4828 | 0.4715 | 0.3959 | 0.3218,4 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/HP_0003596,2,http://purl.obolibrary.org/obo/PROMOT_0010021 | http://purl.obolibrary.org/obo/PROMOT_0010016,Middle adulthood | Age,0.556 | 0.4207,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/HP_0003581,3,http://purl.obolibrary.org/obo/PROMOT_0010019 | http://purl.obolibrary.org/obo/PROMOT_0010024 | http://purl.obolibrary.org/obo/PROMOT_0010022,Adulthood | Intermediate young adulthood | Young adulthood,0.5264 | 0.4876 | 0.4838,3 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/HP_0003584,2,http://purl.obolibrary.org/obo/PROMOT_0010025 | http://purl.obolibrary.org/obo/PROMOT_0010020,Late young adulthood | Late adulthood,0.5779 | 0.5747,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/HP_0003621,2,http://purl.obolibrary.org/obo/PROMOT_0010037 | http://purl.obolibrary.org/obo/PROMOT_0010023,Juvenile age | Early young adulthood,0.6645 | 0.4703,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/HP_0030674,6,http://purl.obolibrary.org/obo/PROMOT_0010026 | http://purl.obolibrary.org/obo/PROMOT_0010052 | http://purl.obolibrary.org/obo/PROMOT_0010031 | http://purl.obolibrary.org/obo/PROMOT_0010030 | http://purl.obolibrary.org/obo/PROMOT_0010029 | http://purl.obolibrary.org/obo/PROMOT_0010046,Antenatal age | Nb of previous pregnancies | Third trimester | Second trimester | Late first trimester | Sex at birth not recorded,0.56 | 0.5026 | 0.4068 | 0.4044 | 0.3843 | 0.3687,6 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/UBERON_0005795,5,http://purl.obolibrary.org/obo/PROMOT_0010028 | http://purl.obolibrary.org/obo/PROMOT_0010027 | http://purl.obolibrary.org/obo/PROMOT_0010042 | http://purl.obolibrary.org/obo/PROMOT_0010041 | http://purl.obolibrary.org/obo/PROMOT_0010044,Fetal | Embryonal | Female sex at birth | Sex at birth | Male sex at birth,0.6831 | 0.6119 | 0.5228 | 0.4828 | 0.4719,5 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/HP_0000062,6,http://purl.obolibrary.org/obo/PROMOT_0010050 | http://purl.obolibrary.org/obo/PROMOT_0010048 | http://purl.obolibrary.org/obo/PROMOT_0010049 | http://purl.obolibrary.org/obo/PROMOT_0010051 | http://purl.obolibrary.org/obo/PROMOT_0010061 | http://purl.obolibrary.org/obo/PROMOT_0010053,Gender identity unknown | Identifies as nonbinary gender | Male gender identity | Gender identity not recorded | Consent type | Consent status,0.4588 | 0.4472 | 0.4222 | 0.3432 | 0.2951 | 0.2282,6 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/UBERON_0013514,2,http://purl.obolibrary.org/obo/PROMOT_0031007 | http://purl.obolibrary.org/obo/PROMOT_0031010,presence qualifier | presence unsure,0.3588 | 0.3304,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/HP_0012378,2,http://purl.obolibrary.org/obo/PROMOT_0032006 | http://purl.obolibrary.org/obo/PROMOT_0100015,Fatigue while eating | Assessment using Fatigue Severity Scale (FSS),0.5696 | 0.5487,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
